English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
(e.g. donkey) drag along bumpily (fallen rider tangled in reins),,"gàgírí jɛ᷈: ló, jà̌ŋ jɛ᷈: ló",gǎ:,gàgírí,,gàgùrú-gàgùrú yǎ:,kùsúsúsú bùmbɔ́,,,,,,,,bùùdó,,,,,gèŋgíyà-gèŋgìyà ín\\ìnè,,,,,
"sound of sth (e.g. sack, animal) being dragged along the ground",kúsúsú,,xxx,kùsúsúsú,,kùjújújú,kùsúsúsú,,,,kùgújújú ,,,,,,,,kùzúzúzù,xxx,,,,,
"(water current) sweep along (animal, log)","só=m̀ yǎy\\yàyá (""take and go"")",dǎm jɛ᷈: ló,gǎ: zàŋgá,àyí,,dě:,dìyɛ́,,,bùmó,bàlá-\\bǎl,,,,"bàlá, jáá",,,,bǎl\\bàlà-lí,bǎl jěn\\jènè,,síndé,,,
"pull back (outstretched arm, tail, etc.)",látú\\látá,bàsá,bàsá zɛ́,bàsá,jìmbɛ́\\jímb-ɛ̀,jùmó,jùmbɔ́,,,,bìɲɛ́-\\bìɲɛ́,,,,ɛ́lɛ́,,,,dɛ́l-lɛ́\\dɛ̀l-là-lí,gɔ̌r-lɛ́,,,,,
"pull back, retract (outstretched arm)",zǔw\\zùwó,bàsá,,"bàsá, jùmbɔ́",jìmbɛ́\\jímb-ɛ̀,bàjá,,,,tóñó,bìɲɛ́-\\bìɲɛ́,,,,bìɲjé,,,,,,,,,gímbɛ̀,kónjé
pull back abruptly (sth that one has pretended to offer sb in one's hand),,"sé:lé, mǒ: dɔ̀mdú",,,,"kà:-dɔ́mnú dɔ̀mnɔ́, ká: dɔ̀mnɔ́",,,,kàⁿ-dɔ́n dɔ̌ǹ ('tease'),,,,,,,,,,,,,,,
"pull in (leg sticking out, perhaps blocking sb's way)",,bàsá,,bàsá,,bàjá,,,,tóñó,bìɲɛ́-\\bìɲɛ́,,,,bìɲjé,,,,,,,,,,
"ride (donkey, horse, camel)",zɔ̌m\\zɔ̀mɔ́,jɔ̀:mbú,nùmá,yɔ̀gɔ́-mí,jɔ̀mmɔ́\\jɔ́mm-ì,jɔ̀:mɔ́,jɔ̀mɔ́,,,dìn-î:\\dìn-ɛ́:,jɔ̌m-nɔ́-\\jɔ̌m-nú,,,,jáá,,,,,yòbá-m,,dúgúrómì,,,
drive (vehicle),zɔ̌m\\zɔ̀mɔ́,jɔ̀:mbú,nùmá,yɔ̀gɔ́-mí,jɔ̀mmɔ́\\jɔ́mm-ì,jɔ̀:mɔ́,jɔ̀mɔ́,,,jǒm̀\\jómó,jɔ̌m-nɔ́-\\jɔ̌m-nú,,,,jáá,,,,zɔ̀bɔ́-mɔ́\\zɔ̀bɔ̀-mà-lí,yòbá-m,dú:rúyó-m(ú),dúgúrómì,,dú:nú-mì,dúgú-ró-mì
"(two people) ride together (on motorcycle, donkey, etc.)","hɔ́rgà kárⁿú\\kárⁿá, tùnǒmmà jìrú\\jìrá",jìŋgí,zìŋgí,jìŋí,,jìŋé,jìŋgɛ́,,tɔ᷈:-n jìŋé,jìŋé,jìŋ-ɛ́:-\\jìŋ-í:,,,,"jàmí-yɛ́, jàmá",,,,zín-jɛ́\\zìn-jà-lí,sɔ̌: ìlɛ́,,jáŋgyê:,,,
"have (sb) ride double behind the driver (on a motorcycle, a donkey, etc.)",,jìŋgí,,jìŋgɛ́-mí,,jìŋì-wⁿé,,,,jìŋé,,,,,ónnú=báà úló,,,,zìŋɛ́\\zìŋà-lí,,,jáŋgúrè,,,
"toss (sth, to sb)",dà:ⁿsú\\dà:ⁿsá,pɔ́tɔ́,pɔ́tɔ́,gìsé,,"pɔ́tɔ́, kámá",pɔ́tɔ́,,,kámá tí,túy-\\túy,,,,túyó,,,,gìzé\\gìzè-lí,jìjír\\jìjìrè,dɔ́njɔ́,dégù:ⁿ gújjè,,dɔ́ŋgɛ̀,"ándá-mì (ɲ-, 'cause to go')"
"toss (grain, sand, cowries) with a flick of the hand",mǎm\\mǎ:ⁿ = màwⁿá,màsá,m̀bàsá,màsá,kámbà\\kámb-ì,màɲá,màsá,,màɲá,màɲá,màɲá-\\màɲú,,,,mànjá,,,,mànzú\\mànzà-lí ~ màzú\\màzà-lí,mìjí\\mìjè,wájó,májé,,,
"flick off (e.g. mud, from one's hand)",zìzǐw\\zìzìwó,mìsé,,mìsé,mìdé\\míd-è,mìɲé,màsá,,gàɲá,màɲá,mìɲɛ́,,,,pógó,,,,"mìzé\\mìzè-lí, mìnzé\\mìnzè-lí",,mínjó,,,mínjè,mínjé
throw (e.g. stone),dà:ⁿsú\\dà:ⁿsá,pɔ́tɔ́,gìsé,gìsé,kámbà\\kámb-ì,kámá,pɔ́tɔ́,,kámá,kámá,kámá-\\kámú,,,,jùmbó,,,"gìdé (gìdé-tì-), dàgá (dàgá-tì-)",gìzé\\gìzè-lí,"gìjí\\gìjè, ér\\èrè",pɔ́rɔ́,gújé,,dɔ́ŋgɛ̀,gújé
"throw away, discard (e.g. trash)",mǎm pású\\pásá,jìsé,"gìsé, tó:",gìsé,,kámá dàɣá,gìsé,,,kámá,kámá-\\kámú,,,,jùmbó,,,,gìzé\\gìzè-lí,"gìjí\\gìjè, ér\\èrè",,gújjè,,,tú:gɛ̀
toss out (remaining liquid in a container),mǎm\\mǎ:ⁿ = màwⁿá,kóró,xxx,kóró,tógò\\tóg-è,yèlèré,kóró,,,tógó dàgá,tógó-\\tógó,,,,,,,,úbɔ́\\ùbà-lí,xxx,,,,,
(thrown object) strike (sb),bɛ̀rú\\bɛ̀rá,nɛ́wⁿɛ́,,,,,,,,,nɛ́wⁿɛ́-\\nɛ́wⁿɛ́,,,,,,,,nèmɛ́\\nèmá-lì,,,,,,
(sb) strike (sb) with sth thrown,áwkú\\áwká,nɛ́wⁿɛ́ [agent or projectile can be subject],[gìsé ní] nɛ́mɛ́,nɛ́mɛ́,,nɛ́wⁿɛ́,"pɔ́tɔ́, nɛ́wⁿɛ́",,,bɛ̀rɛ́,kámá-\\kámú,,,,"bɛ̀lɛ́, nɛ́mɛ́",,,,nèmɛ́\\nèmá-lì,nǎm\\nàmè,,gújé,,,
"missile, hard object that is thrown",,,dùyⁿî:,,,,,,,děŋ,xxx,,,,,,,,,,,,,,
heave (a spear),"dùrú\\dùrɔ́, zùgú\\zùgɔ́, dà:ⁿsú\\dà:ⁿsá",dùrɔ́,dùrá,dùrɔ́,kámbà\\kámb-ì,dùrɔ́,dùrɔ́,,,dùrɔ́,dùrɔ́-\\dùrú,,,,dùrɔ́,,,,dú:dɔ́\\dù:dà-lí,dùrɛ́,pɔ́rɔ́,díré,,yúbè,úbé (y-)
heave and imbed (e.g. spear),dùrú kúlú\\kúló,dùrɔ́ gǎyⁿ,dùrá gǎŋ,dùrɔ́ dìgɛ́-mí,,dùrɔ́ kúnó,,,,,sɔ́bɔ́-\\sɔ́bɔ́,,,,"dùrɔ́, sɔ́bɔ́",,,,,,,séndírè,,,
"sprinkle (sth dry: grains, powder)",yìyùrú\\yìyìró,yìré,yìré,yùró,,yì:ré,yì:ré,,,yìré,yìlé-\\yǐl,,,,yìlé,,,,yìló\\yìlò-lí ~ yìlé\\yìlè-lí,mìjí\\mìjè,ám(ú),májé // ɲámí,,ʔámì,ámí (ɲ-)
"sprinkle in (e.g. ingredients, into a pot)",yìyùrú\\yìyìró,tɛ́yí gǎyⁿ,tɛ́kɛ́ gǎŋ,tégé-mí,yìlé\\yíl-è,tɛ́gɛ́ kúnó,yì:ré,,,yìré,yìgéré-\\yìgírí,,,,yìlé,,,,yìló\\yìlò-lí ~ yìlé\\yìlè-lí,yǐl\\yìlè,,túlé,,,
"put a little (sugar, gunpowder, etc.) with the fingers","wìwìsú\\wìwìsó, tɛ́kú\\tɛ́ká",tɛ́yí,tɛ́kɛ́,tɛ́gí,jèmé\\jém-è ('take a pinch'),tɛ́gɛ́,jɛ̀wⁿɛ́ kúló,,,kɛ́mɛ́ kúǹ,jɛ̀wⁿɛ́ kúnɔ́,,,,tɛ́gɛ́,,,,tɛ́gɛ́\\tégá-lì,[tɛ́gì nɛ̀] gǎn,,túlé,,,
(quadruped) buck (to throw off rider),tórú\\tóró,tógó,sútí gǎŋ,tómbó,,màɲá,dòmbó,,,ìjí íjé,tógó-\\tógó,,,,wàndá táá,,,,yìgé\\yìgè-lí,súrà dàgí\\dàgè,,píndé,,,
touch (with hand),dògú\\dògó,táwá,táwá,táwá,"tábà\\táb-ì, làrá\\lár-ì",tɔ́wɔ́,táwá,tɔ́wɔ́,tɔ́wɔ́,tɔ́wɔ́,tábá-\\tábú,,,,dèŋé,,tàbɛ́,tábá (tábá-tì-),tábú\\tábá-lì-,dòŋgí,táwó,tábyê:,,nárè,náré
"brush against, graze (sth)",bǔm\\bùwⁿɔ́,jù:rú,pó:,jèŋé,jèbèdé\\jébìd-ì,pɛ́rɲɛ́,jèŋgé,,,jùjɔ́,bɛ̀ŋɛ́l-ɛ́:-\\bɛ̀ŋíl-í:,,,,jɛ̀bɛ́lí-yɛ́,,,pójj-í: (pójj-í:-yà-),pójjó\\pójjó-lì,gɔ̀gɛ́,bɛ́ŋgɔ́,gáŋgájè,,gágè,búmbɛ́
"rub in (oil, lotion)",zɛ̀rⁿú\\zɛ̀rⁿá,párá,táwá,párí,pár-ɛ̀:\\pár-ì-ỳ,párá,párá,,,"pár-ì:, párá",párá-\\párú,,,,párí-yɛ́,,pàrɛ́,,,pár\\pàrè,nárí-yó,númbyê:,,mɔ́mmɛ̀,"númb-yè (on self), númbú-rè"
rub on liberally (lotion),,dòŋgó,,"dòŋgó, dòŋgó párí",,dòŋó,párá,,,,éré→ párá,,,,díɛ́-go párí-yɛ́,,,,pádí-yɛ́,dɔ̀mbɛ́,,númbyê:,,,
"rub on, apply by hand (perfume)",zɛ̀rⁿú\\zɛ̀rⁿá,párá,táwá,párí,pár-ɛ̀:\\pár-ì-ỳ,párá,párá,mìsé,,"pár-ì:, párá",párá-\\párú,,,,"párí-yɛ́, párá",,,,pádí-yɛ́,pár\\pàrè,pú:-yó,póbólómì,,,
"spread, apply (e.g. insecticide powder)",,yìré,m̀bàsá,yùró,,"tɔ́:, yìré, párá",yìré,,,,píjé-\\píjú,,,,"mànjá, yìlé",,,,,pár\\pàrè,,márágè,,,
spray (insecticide) (verb),písú\\písó,pɔ́mpɛ́,"písé, pɔ́mpà káŋ","písé, pɔ́mbí","pɔ́mbɔ̀\\pɔ́mb-ɛ̀, pídè\\píd-è",pɔ́mpɛ́,písé,,,píjé,píjé-\\píjú,,,,pídé,písè,,,pízé,píjí\\pìjè,,píjé,,píbè,píjé
"spray on (perfume, to skin)",púrú\\púró,písé,písé,písé,píd-è:\\píd-ì-ỳ,píwɛ́,písé,,,píjé,píjé-\\píjú,,,,pídé,písè,,,pízí-yé,píjí\\pìjè,púwó,píjé,,,
rub (one's body) with the hand,súŋgúrú\\súŋgúrɔ́ ~ súŋúrú\\súŋúrɔ́,pú:rí,xxx,pú:rí,póbòlò-mɔ̀\\póbùlù-m-ì,pórówó,gàgá,,,pó:ró-m̀,yǎmɲɛ́-\\yǎmɲú,,,,,,,,púbúlɔ́,xxx,sújú-yó,,,kó:rè,"pábálè, tábálè"
rub (one's body) with a sponge,,gàgá,xxx,pú:rí,"yàmìnd-ɛ́:-\\yámìnd-ì-y, mɔ̀g-ɛ́:\\mɔ́g-ì-ỳ",púrúwɔ́,púwɔ́,,,jùjɔ́,yǎmɲɛ́-\\yǎmɲú,,,,,,,,súzɔ́,xxx,sújú-yó,,,,
rub (one's body) with a stone (e.g. the medicinal black stone),zùsú\\zùsɔ́,gàgá,xxx,bùwɔ́,gàgá\\gág-ì,"gàɣá, bùwɔ́",gàgá,,,jàrá,gàgá-\\gàgú,,,,,,,gàgá,bú:bɔ́\\bù:bà-lí,xxx,,,,,
rub (soap) on one's body,zùsú\\zùsɔ́,párá,,gàgírí,pár-ɛ̀:\\pár-ì-ỳ,gàɣá,párá,,,jùjɔ́,párá-\\párú,,,,párí-yɛ́,,,,bú:bí-yɛ́,párí-yɛ́,,nájyê:,,,
rub (soap bar) between one's hands,zùsú\\zùsɔ́,mɛ̀wⁿrⁿú,nàŋgírí,pú:rí,,pɔ́rɔ́wɔ́,mɛ̀wⁿrⁿɛ́,,,pó:ró-m̀,párá-\\párú,,,,yàmínjɛ́,,,,pádí-yɛ́,púgújɛ́,,pígé,,,
rub (hands) together with back and forth longitudinal motion,pùró súŋgúrú\\súŋgúrɔ́,mɛ̀wⁿrⁿú,nàŋgírí,pígé,,pígé,mɛ̀wⁿrⁿɛ́,,,jùjɔ́,yǎmɲɛ́-\\yǎmɲú,,,,yàmínjɛ́,,,,yámzɛ́,tábílɛ́,nárí-yó,,,,
rub (leather) between one's thumb and forefinger (to soften it),yⁿùmùnú\\yⁿùmùnɔ́,mɛ̀wⁿɛ́,mɛ̀mírⁿí,mɛ̀mírⁿí,,mɛ̀wⁿɛ́,mɛ̀wⁿrɛ́,,,mɛ̀wⁿɛ́,mɛ̀mɛ́rⁿɛ́-mɔ́-\\mɛ̀mɛ́rⁿɛ́-mú,,,,némí-lé,,,,púgúzɔ́\\púgúzá-lì,bìmbílɛ́ tár\\tàrè,,tábyê:,,,
"rub hard, massage (animal hide)",zùsú\\zùsɔ́,nàwⁿá,"túkúsó, ùmírⁿí","mɛ̀mírⁿí, pú:rí",,táráwá,,,,jùjɔ́,nàwárⁿá-mɔ́-\\nàwárⁿá-mú,,,,námá-lá\\námí-lɛ́,,,,túgúzɔ́,námílɛ́,,"búbé, gyúzɛ́",,,
(e.g. wrestler) rub (fallen opponent) into the sand,zùsùrú\\zùsùrɔ́,gàgìrí,gàgírí,gàgírí,,"gàɣàrá, gàɣá",gàgàrá,,,lɛ́jɛ́,xxx,,,,gàgá,,,,gàgú,jìgílɛ́,,nɛ́gálè,,,
rub (e.g. knife) back and forth against a surface,zùsú\\zùsɔ́,nɛ́rⁿɛ́,nɛ́rⁿɛ́,"nɛ̀rⁿí, gàgá",,nɛ̀rⁿɛ́,dù:sɔ́,,,bùwɔ́,nɛ̀nɛ́-\\nɛ̀nɛ́,,,,gàgálá,,,,"gàgú, nèrⁿɛ́\\nèrⁿá-lì",nǎr\\nàrè,,ní:ndɛ̀,,,
"rub (e.g. stone, file) against (knife blade)",zùsú\\zùsɔ́,bùwɔ́,bùwɔ́,bùwɔ́,,bùwɔ́,dù:sɔ́,,,nɛ̀rⁿɛ́,bùbɔ́-\\bùbú,,,,wɛ̀ɛ́,,,,,bìbɛ́,,búbé,,,
"handle with one's hand with squeezing or rubbing motion (clothing being washed in water, crushed millet)",,púgúsí,túkúsó,púgúsí,,púgújɔ́,púgúsɔ́,,,mɔ̀ŋɔ́,túgɔ́jɔ́-\\túgújú,,,,túgúdɔ́,,,,kámú,túgújɛ́,,púgújè,,,
brush (one's teeth),zùsú\\zùsɔ́,bùwɔ́,xxx,bùwɔ́,bùbɔ́\\búb-ɛ̀,bùwɔ́,bùwɔ́,,,bùwɔ́,bùbɔ́-\\bùbú,,,,,,,,bú:bɔ́\\bù:bà-lí,xxx,ɔ̀mɔ̀ yíjɔ́,,,gígɛ̀,bímbɛ́
"brush (sth), rub or scrub (sth) with a brush",zùsú\\zùsɔ́,bùwɔ́,xxx,púwɔ́,bùbɔ́\\búb-ɛ̀,bùwɔ́,gàgá,,,bùwɔ́,bùbɔ́-\\bùbú,,,,,,,,súzɔ́,xxx,,,,,
(rope) rub lightly against (sth) without abrading,zùsùrú\\zùsùrɔ́,bùwɔ́,bùwɔ́,bùwɔ́,gàgá\\gág-ì,"jùjɔ́, bùwɔ́",bùwɔ́,,,bùwɔ́,,,,,tɛ́mbí-yɛ́,,,,"tɛ́mbí-yɛ́, bɛ̀ŋgílí-yɛ́",bìmbílí-yɛ́,,,,,
"(rope) rub hard against, abrade (skin)",zùsùrú\\zùsùrɔ́,sɛ́wⁿɛ́,,sɛ́mɛ́,gàgùd-ɛ́:-\\gágùd-ì-ỳ,pɔ́rɔ́wɔ́,,,,pɔ́rɔ́,kɛ́:ⁿ-\\kɛ́:ⁿ,,,,"bìmbɛ́, sɛ́mɛ́",,,,sémɛ́\\sémá-lì,pɔ́rɛ́,,nímbúlè,,,
"(going along) bumpily, rubbing hard (e.g. brushing walls as one walks) (adverb)",yǐw-yǎw-yǐw,"gàgírí-gàgírí, jǎŋ-jǎŋ",,gàgírí-gàgírí,,gàgùrú-gàgùrú,gágúrú-gágúrú,,,,,,,,tɛ́mbíyɛ́-tɛ̀mbìyɛ̀,,,,,dìníyà-dìnìyà,,,,,
"(sb) rub or scrape against (rope, pole)",,gàgìrí,,,,,,,,,gàŋɛ́l-ɛ́:-\\gàŋíl-í:,,,,,,,,gàŋílí-yɛ́\\gàŋìlì-yà-lí,,,,,,
"caress, rub gently with fingers or palm","súm\\súmɔ́, táwrú\\táwrá",pú:rú,pú:rí,pú:rí,póbòlò-mɔ̀\\póbùlù-m-ì,pórówó,pú:rɔ́,pórúwó,pórówó,pó:ró-m̀,póbóló-mɔ́-\\póbóló-mú,,,,"tábí-lɛ́, yèwú-lé",,,,púbúlɔ́,tábílɛ́,táwá-ló,pógúlúmì,,kó:rè,pábálè
"massage lightly (old person, to improve circulation)",súŋgúrú\\súŋgúrɔ́,púgúsí,túgúsó,púgúsí,púgùdò\\púgùd-ì,mɔ̀ŋɔ́,púgúsɔ́,mòŋó,,púgújù\\púgújó,nàwárⁿá-mɔ́-\\nàwárⁿá-mú,,,,"námí-lɛ́, púgúdó",,,,,túgújɛ́,,púgújè,,púgújè,mɔ́gájè
"massage deeply (sb, stimulating muscles)",yⁿùmùnú\\yⁿùmùnɔ́,nàwⁿá,nàŋgírí,nàmírⁿí,púgùdò\\púgùd-ì,mɔ̀ŋɔ́,nàrⁿwⁿá,,,púgújù\\púgújó,púgɔ́jɔ́-\\púgújú,,,,námí-lɛ́,,,,púgúzɔ́\\púgúzá-lì,námílɛ́,mɔ́lɔ́,,,púgújè,mɔ́gájè
"(cat, goat, sheep) rub its body (against sth, e.g. a wall)",zùsú\\zùsɔ́,gàgìrí,gà:rí,"gàgírí, gàgá",gàg-ɛ́:-\\gág-ì-ỳ,gàŋàrⁿá,gàgàrá,,jìŋìrⁿé,jùjɔ́,"gàŋɛ́l-ɛ́:-\\gàŋíl-í:, gàgíl-ɛ́:-\\gàgíl-í:",,,,"bùmbɔ́lí-yɛ́, gìŋílí-yɛ́",,,,bú:bí-yɛ́,jìgílí-yɛ́,gúgúyó,gáŋgájè,,,
"wipe (surface, e.g. with a cloth)",súŋgúrú\\súŋgúrɔ́,súsúrú,súsírí,túsɔ́,súdò\\súd-è,súɲúrⁿó,súsúrɔ́,sújúrɔ́,súɲúrⁿó,súɲùrⁿù\\súɲɔ́rⁿɔ́,sújɔ́ xxx[chaining],,,,"súdɔ́, yàmínjɛ́ xxx[sense]",,,,súzɔ́,sújɛ́,sújú-yó,sújɛ́,,sújálè,sújé
wipe off sweat,,sù-sǒ: cɛ́ŋgé,sò:-só: céŋgé,sǒy kɔ́ŋí,,ò:gú kɔ́ŋɔ́,,ò:gú kɔ́ŋɔ́,,ò:gú súɲùrⁿù,,,,,(sòó ḿ mɔ) súdɔ́,,,,,ùjùrmbó pɔ́bílɛ́,,sújɛ́,,,
"wipe off (sweat, mud)",,céŋgé,céŋgé,kɔ́ŋí,,,,,,súɲùrⁿù\\súɲɔ́rⁿɔ́,,,,,súdɔ́,,,,,sújɛ́,,sújɛ́,,,
"wipe (one's forehead, with the back of one's hand and adjacent part of forearm)",dòró púw\\púwɔ́,gàgìrí,nàŋgírí,gàgírí,gàŋá\\gáŋ-ì,gàŋá,pú:rɔ́,,,súɲùrⁿù\\súɲɔ́rⁿɔ́,yǎmɲɛ́-\\yǎmɲú,,,,"yàmínjɛ́, gàŋálá",,,,gàŋúlɛ́,"géndè sújɛ́, jìgílɛ́",sújú-yó,sújɛ́,,,
"wipe (e.g. sweat off brow, remainder of sauce in pot) with just the flexed index finger",kɔ́sú\\kɔ́sɔ́,céŋgé,xxx,kɔ́ŋí,gɔ̀ŋɔ́\\gɔ́ŋ-ɛ̀,kɔ́ŋɔ́,xxx,kɔ́ŋɔ́,,kɔ́ŋɔ́,kɔ́ŋɔ́ xxx[chaining],,,,súdɔ́,,,,kɔ́ŋɔ́,xxx,,,,,
(sb) wipe off (sweat or mud) with a downward sweep of one or both hands (on the face) or with an outward sweep of one hand (on the other arm),súŋgúrú\\súŋgúrɔ́,pɔ́wɔ́,xxx,pɔ́:,,xxx,xxx,xxx,,,xxx,,,,xxx,,,,pɔ́bɔ́\\pɔ́bá-lì,xxx,,,,,
wipe (one's forehead = brow) with the palm or side of one's hand,,céŋgé,,,,,,,,,gàŋá-\\gàŋú,,,,,,,,,,,,,,
"wipe off (e.g. stick, chicken's leg) by hand, with a sliding motion",súŋgúrú\\súŋgúrɔ́,pɔ́wrú,pɔ́:,pɔ́mbírí,súdò\\súd-è,pɔ́mɔ́rⁿɔ́,súsúrɔ́,,,súɲùrⁿù\\súɲɔ́rⁿɔ́,"sújɔ́, pɔ́bɔ́",,,,súdɔ́,,,,pɔ́bɔ́\\pɔ́bá-lì,sújɛ́,,sújɛ́,,,
shape (wet earth) into a large ball with both hands (for carrying and then applying to a wall or roof),màŋgùrú\\màŋgùrá,màŋgí,cɛ́,màŋí,màŋá\\máŋ-ì,mɛ̀ŋɛ̀rⁿɛ́,màŋgá,,,màŋá,màŋá-\\màŋú,,,,màŋá,,,,mǎŋ\\màŋà-lí,màŋgí,kújé béjó,,,,tándé
squeeze (food) into a ball-shaped handful in one's hand,màŋgùrú\\màŋgùrá,màŋgí,màŋgí,màŋí,màŋá\\máŋ-ì,màŋá,màŋgá,,mɛ̀ŋɛ̀rⁿɛ́,màŋá,màŋá-\\màŋú,,,,màŋá,,,,mǎŋ\\màŋà-lí,màŋgí,,máyⁿé,,,
"rub (dough, clay) into shapes with the fingers of one hand against a surface (e.g. the palm of the other hand)",mɛ̀msú\\mɛ̀msá,mɛ̀wⁿɛ́,xxx,mɛ̀mírⁿí,,mɛ̀wⁿɛ́,,,,mèŋéré-m̀,nɛ́wⁿɛ́rⁿɛ́-mɔ́-\\nɛ́wⁿɛ́rⁿɛ́-mú,,,,mèŋgí-lé,,,,,tír\\tìrè,,,,,
"rub (tobacco, dry roselle leaves) back and forth between one's hands or between one's fingers (to crush them)",mɛ̀msú\\mɛ̀msá,mɛ̀wⁿɛ́,ùmírⁿí,mɛ̀mírⁿí,,mɛ̀wⁿɛ́,mɛ̀wⁿɛ́,,mɛ̀wⁿɛ́,mɛ̀wⁿɛ́,nàwⁿárⁿá-mɔ́-\\nàwⁿárⁿá-mú,,,,"púgúdó, námí-lɛ́",,,,úmɔ́\\ùmà-lí,,,méŋgélémì,,,
make balls of millet flour for cream of millet by rolling in a calabash,,mɛ̀ŋgɛ̀rɛ́,,mèŋgíré,,mɛ̀ŋɛ̀rⁿɛ́,,,,,,,,,,,,,mèŋgíré\\mèŋgìrè-lí,mèŋgíl,,,,,
"roll or rub (clay, wet earth) into a ball between one's palms",,,mɛ̀ŋgíré,mèŋgíré,,mɛ̀ŋɛ̀rⁿɛ́,,,,màŋá,màŋá-\\màŋú,,,,màŋá,,,,mèŋgíré\\mèŋgìrè-lí,mèŋgíl,,méŋgélémì,,,
"rub (dough, clay) into balls between one's hands",màŋgùrú\\màŋgùrá,mèŋgìré ~ mèŋgèré,mɛ̀ŋgíré,mèŋgíré,,mɛ̀ŋɛ̀rⁿɛ́,mɛ̀ŋgɛ̀rɛ́,,,mèŋéré-m̀,màŋá-\\màŋú,,,,"màŋá, némí-lé",,,,mèŋgíré\\mèŋgìrè-lí,mèmíl,,méŋgélémì,,,
"rub (dough, clay) into rolls between one's hands (e.g. to make long thin cakes, or before cutting into small cakes)",mɛ̀mùsú\\mɛ̀mùsá,mɛ̀wⁿɛ́,xxx,mɛ̀ŋírⁿí,sómbòrò-mɔ̀\\sómbùrù-m-ì,mɛ̀ŋɛ̀rⁿɛ́,mɛ̀ŋgɛ̀rɛ́,,,mèŋéré-m̀,mɛ̀ŋɛ́rɛ́-mɔ́-\\mɛ̀ŋɛ́rⁿɛ́-mú,,,,"sídí-lé, mèmí-lé",,,,sízílé\\sízílé-lì,námílɛ́,,méŋgélémì,,,
roll (dough) between hands with a back and forth longitudinal motion,píwrú\\píwró,"píyé, pígé",mɛ̀mírⁿí,pígé,,pígé,,,,,mɛ̀ŋɛ́rɛ́-mɔ́-\\mɛ̀ŋɛ́rⁿɛ́-mú,,,,némí-lé,,,,,,,méŋgélémì,,,
roll (food) into balls,,,,,,mâŋ màŋá,,,,,màŋá-\\màŋú,,,,"màŋá, némí-lé",,,,,,,,,,
"roll into smooth-surfaced balls (e.g. macari spice, leaves mixed with millet, pounded onion bulb) in the palm of one hand","màŋgùrú\\màŋgùrá, màŋú\\màŋá",mèŋgèré,,,,,,,,,lé:r-ɛ́:-mɔ́,,,,,,,,lé:ré\\lé:ré-lì,,,,,,
shape (soumbala spice) into small pieces (to be sold later) using the thumb and fingertips,,mèŋgèré,,,,,,,,,nɛ̌:rⁿ-ɛ́:-mɔ́-\\nɛ̌:rⁿɛ́-mú,,,,,,,,,,,,,,
roll (e.g. barrel) on the ground,bìŋgùrú\\bìŋgùró,dùlùró,gùndúrú-mí,dùndúró,dùnùlù-mɔ́\\dúnùlù-m-ì,bɛ̀ɲɛ̀rⁿɛ́,dùlùró,bìnìré,bɛ̀ŋɛ̀rⁿɛ́,bìní-rì\\bìné-ré,dùnúlú-mɔ́-\\dùnúlú-m,,,,dùnnúló,,,dàmbí- (dàmbí-tì-),"dùnúló\\dùnùlò-lí, dàmbú\\dàmbà-lí",dùndúl\\dùndùlè,bíní-ló,gúndúlómì,,gúndúló-mì,gúndúló-mì
roll on the ground (e.g. a boulder too heavy to lift),jìŋgùrú\\jìŋgùró,dùlùró,xxx,dùndúró,dùnùlù-mɔ́\\dúnùlù-m-ì,bìnìrⁿé,dùlùró,,,bìní-rì\\bìné-ré,dùnúlú-mɔ́-\\dùnúlú-m,,,,dùnnúló,,,,"dùnúló\\dùnùlò-lí, dàmbú\\dàmbà-lí",dùndúl\\dùndùlè,,,,,
(e.g. child) roll (wheel etc.) on the ground,zɔ̌m\\zɔ̀mɔ́,jɔ̀:mbí,nùmá,yɔ̀gɔ́-mí,,jɔ̀:mɔ́,jɔ̀mɔ́,,,"bìní-rì\\bìné-ré, jǒm̀\\jómó",,,,,dùnnúló,,,,zɔ̀bɔ́-mɔ́\\zòbò-mà-lí,yòbá-m,,dúgúrómì,,,
(sb) roll (sth with sides) over two or more times,bìŋgùrú\\bìŋgùró,bìlìré,xxx,bìndé-mí,,bìlìwɛ́,bìlé,,,bìní-rì\\bìné-ré,bìnɛ́lɛ́-\\bìníl,,,,bìlé,,,,bìné\\bìnè-lí,bìndí-l\\bìndì-lè,,,,,
